File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\css\style.css,32,20,13,0,3,0,9,41,9,41
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlAboutView.fxml,61,58,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlCheckSumView.fxml,104,101,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlCloudView.fxml,172,169,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlDatabaseView.fxml,146,143,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlDownloadsView.fxml,79,76,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlLoginView.fxml,73,70,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlMainView.fxml,894,891,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlPreferencesView.fxml,209,206,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlPremiumView.fxml,49,46,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlSchedulerView.fxml,208,205,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlTutorialPremium.fxml,49,46,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\FxmlTutorialView.fxml,177,174,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\build\classes\openchannel_dynamic_downloader\view\fxml\OCMediaPlayer.fxml,50,47,0,0,3,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\application\OpenChannel_Dynamic_Downloader.java,387,247,198,24,59,2,81,439,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\application\ShutDownHook.java,34,16,11,1,7,0,11,55,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlChecksumViewController.java,318,256,185,18,50,0,12,50,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlCloudViewController.java,57,39,30,0,9,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlDatabaseViewController.java,387,281,204,13,77,2,29,121,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlDownloadsViewController.java,550,430,309,92,65,4,55,241,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlLoginViewController.java,197,118,90,7,23,3,56,194,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlMainViewController.java,1024,786,613,41,171,18,67,374,5,31
