Word,Count
*,423
,178
the,145
in,142
this,136
+,112
change,111
choose,105
To,104
=,99
and,97
template,96
to,93
if,68
of,64
{,63
new,61
TODO,61
|,59
be,59
},57
Templates,56
Tools,56
private,53
open,51
for,50
License,48
Headers,48
license,48
Project,48
\file,\,48
editor,48
Properties,48
\header,\,48
@author,47
NOT,46
not,42
/,39
\,\,39
from,36
tomas,32
on,30
it,29
@param,28
static,27
public,27
at,27
is,26
that,25
remove,25
\"\\,25
1024),24
download,24
check,23
dot,23
IN,23
here,23
coudnt,23
find,23
final,23
int,23
application,21
or,21
sure,20
TABLE,20
might,20
size,19
all,19
i,19
has,18
no,18
database,17
by,17
String,17
//,17
OF,17
downlaod,16
SimpleStringProperty,16
user,16
FOR,16
->,16
with,16
a,16
file,15
Kofola,15
data,14
preferences,14
THIS,14
into,14
set,14
state,13
long,13
VARCHAR(255),13
as,13
active,13
used,13
create,13
speed,12
else,12
db,12
start,12
todo,12
downloads,12
its,11
old,11
:,11
can,11
threads,11
IS,11
==,11
optimize,11
get,10
@return,10
FROM,10
TO,10
CREATE,10
downloaded,10
use,10
generated,10
have,10
view,10
scheduler,10
add,10
notification,10
try,10
will,10
1),10
-,9
THE,9
ON,9
thread,9
seconds,9
});,9
completion,9
already,9
SimpleLongProperty,9
maybe,9
are,9
catch,9
do,9
since,9
>,9
//stores,8
up,8
method,8
boolean,8
SimpleDoubleProperty,8
only,8
name,8
\methods,\,8
etc,8
BYTES/,8
AT,8
THAT,8
they,8
needed,8
multipleSelection.removeAll(multipleSelection);,8
url,8
\"\-"\\,8
body,8
care,8
case,8
bytes,8
runtime,8
REPRESENTED,8
STRING,8
text,8
default,7
LONG,7
there,7
id,7
INT,7
test,7
!=,7
resume,7
based,7
ex),7
other,7
ROWS,7
what,7
gonna,7
SET,7
some,7
dont,7
return,7
&&,7
work,6
like,6
IF,6
0),6
SimpleIntegerProperty,6
\"\"\)\,6
delete,6
1,6
VALUE,6
make,6
\null,\,6
something,6
well,6
changed,6
value,6
login,6
SELECTED,6
ex.printStackTrace();,6
show,6
minutes,6
getItems().removeAll(multipleSelection);//TODO,6
getItems().remove(row.getItem());,6
idea,6
values,6
update,6
password,6
table,6
number,6
WILL,6
stop,6
ex);,6
CAHNGE,6
totalSeconds,6
calculated,6
doesnt,5
go,5
\System.out.println("\PROGRESS\,5
sekundy,5
created,5
\:"\+((double)((long)newVal/getSize()))*100);\,5
kolko,5
later,5
cant,5
CHECK,5
returns,5
hours,5
just,5
flags,5
I,5
stiahlo,5
paused,5
one,5
progress.set(((double)((long)newVal/getSize()))*100);,5
when,5
\1,\,5
take,5
first,5
\NULL,"\\,5
down,5
zaklade,5
60,5
sa,5
probably,5
SURE,5
profile,5
different,5
DU,5
null),5
same,5
upon,5
before,5
fix,5
way,5
shoud,5
been,5
na,5
progress,5
za,5
DOWNLOAD,5
0.5,5
executed,5
every,5
then,5
after,5
necessery,5
bytov,5
instance,5
field,4
called,4
opt,4
source;,4
cause,4
we,4
names,4
\getSource(),\,4
supported,4
compute,4
need,4
valid,4
..,4
\NULL,name\,4
multiple,4
setSizeProperty(new,4
execute,4
downloading,4
thru,4
\numOfConnections.get(),\,4
\getStatement().execute("\CREATE\,4
Shows,4
getId(),4
LOAD,4
\VARCHAR(255),downloadDir\,4
\DownloadThread("\dt-"\\,4
part,4
USER,4
does,4
call,4
TASKS,4
DT,4
INTO,4
\"\state\,4
notify,4
filter,4
(i,4
hold,4
FILENAME_PARTIAL,4
\NULL,completedOn\,4
DATA,4
getDirectory(),4
binding,4
TASK,4
60;,4
stored,4
nonstop,4
\"\/"\\,4
\NULL,added\,4
THREAD,4
\getId(),\,4
downloadThreadList.add(new,4
STATE,4
volatile,4
);,4
instead,4
exception,4
progress.bind(downloaded.divide(size).divide(100));,4
later.,4
so,4
kb/s,4
ineffective,4
AND,4
optimized,4
set//file,4
woud,4
index,4
USE,4
BE,4
ARE,4
\"\source\,4
port,4
>=,4
A,4
getNumberOfConnections()));,4
\NULL,size\,4
where,4
changes,4
/TESTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT,4
3;,4
super,4
series,4
DOWNLAOD,4
last,4
DB,4
im,4
dt),4
must,4
vypocitaj,4
%,4
//TODO,4
me//,4
DOWNLOADS,4
added,4
bud,4
now,4
inactive,4
error();,4
downloads(id,4
partial,4
CASE,3
email,3
possibleSuggestions.addAll(Arrays.asList(suggestions));,3
.,3
\Logger.getLogger(Downloader.class.getName()).log(Level.SEVERE,\,3
running,3
STREAM,3
BUD,3
'/',3
wont,3
\"\Completed"\,\,3
ones,3
SimpleDoubleProperty(0.5);,3
VARCHAR(1000),3
form,3
void,3
going,3
while,3
were,3
IMPLEMENTATION,3
AS,3
UserProfile,3
extra,3
current,3
kind,3
them,3
added;//calculates,3
again,3
connection,3
IMPORTANT,3
any,3
posun,3
segmented,3
\{"\Failed"\,\,3
\1),\,3
||,3
//notify,3
getName(),3
directory;,3
give,3
DownloadTask,3
vsetky,3
displayed,3
store,3
o,3
\0,\,3
FIRST,3
offset,3
mess,3
parallel,3
(long),3
load,3
units,3
takes,3
pre,3
each,3
WITH,3
(size,3
close,3
folder,3
(notification,3
clipboard,3
