File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\application\OpenChannel_Dynamic_Downloader.java,382,242,193,23,61,2,79,397,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlChecksumViewController.java,318,256,185,18,50,0,12,50,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlCloudViewController.java,32,11,7,0,12,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlDatabaseViewController.java,387,281,204,13,77,2,29,121,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlDownloadsViewController.java,550,430,309,92,65,4,55,241,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlLoginViewController.java,195,116,88,7,24,3,55,171,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlMainViewController.java,900,697,544,37,140,16,63,322,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlPreferencesViewController.java,126,90,69,6,22,0,14,113,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlSchedulerViewController.java,268,193,138,21,38,1,37,180,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controllers\FxmlTutorialViewController.java,28,11,7,0,8,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\CustomAutoCompleteSearchDownloadsTextField.java,120,84,65,7,14,0,22,63,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\CustomAutoCompleteSearchTableTextField.java,40,21,14,3,9,0,10,38,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\CustomAutoCompleteTextField.java,101,47,37,3,34,0,20,77,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\CustomNotificationPane.java,125,90,76,9,20,0,15,72,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\EulaPane.java,38,22,20,0,7,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\Notifier.java,141,99,57,16,11,0,31,123,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\OCMusicPlayer.java,18,3,2,0,6,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\controls\OCTableView.java,744,564,431,29,94,14,86,554,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\Downloader.java,446,248,196,30,65,16,133,732,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloaderDaemonThread.java,195,141,109,25,26,14,28,226,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloaderSaveThread.java,15,3,2,0,3,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloadTask.java,664,383,308,48,86,21,195,1245,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloadThread.java,217,124,101,14,38,9,55,257,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloadUnit.java,575,327,254,42,94,14,154,972,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\downloader\DownloadValidator.java,37,12,10,1,10,0,15,56,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\h2\H2DatabaseConnector.java,166,120,84,10,28,1,18,104,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\model\MainDataModel.java,64,34,26,6,17,5,13,90,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\ockeyHook\OCKeyHook.java,97,66,44,6,19,2,12,84,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\preferences\ConfigPref.java,46,21,16,3,14,0,11,41,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\preferences\UserPropertyWrapper.java,17,3,2,0,5,0,9,37,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\scheduler\Scheduler.java,58,35,26,5,13,0,10,39,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\security\UserProfile.java,259,170,129,21,49,6,40,220,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\tray\Tray.java,114,75,64,1,27,1,12,50,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\DbUtil.java,383,258,192,16,64,5,61,323,5,31
C:\Users\Kofola\Documents\NetBeansProjects\OpenChannel_Dynamic_Downloader\src\openchannel_dynamic_downloader\utils\Email.java,22,6,4,1,7,0,9,37,5,31
